x,y,vx,vy,ang,angVel,t
4.168,5.046,0.0,0.0,3.031198770483229,0.0,0.0
2.9748277780440704,5.98242419290834,-2.2380621383376815,-0.6167412330978816,2.889572652389403,-0.3739728153766632,0.8577136809185802
2.7685806897154843,6.6002383293604465,-2.3878792033707135,-0.28187771659796723,2.8679975443773436,-0.3918250573343011,1.446716988470797
2.768581296348534,6.600238789645549,-2.388002586417049,-0.2818854851338546,2.8679978630901304,-0.3918220115279324,2.954145843097062
2.7685660301873622,6.600234235221163,-2.3873854423943643,-0.2819023472580415,2.867997009904215,-0.3918236205185068,4.676779829739063
2.7686768715909267,6.600262098635735,-2.390193558147665,-0.28161317693299653,2.867997305538408,-0.391864237884919,6.411666343535951
2.768032639980036,6.600111665259034,-2.3788324894250574,-0.28359357032455446,2.8680024543499436,-0.3915902078837385,8.14688841422764
2.771094026058488,6.600773570832611,-2.421853938184672,-0.27228736869377396,2.867914115507948,-0.39317926236722006,9.89721485200164
2.7566148078603856,6.597616346699795,-2.2909070456671894,-0.32565565899308097,2.8682823937140407,-0.38792288859484036,11.611902376724414
2.8094272177511717,6.6063211294160835,-2.638964410112666,-0.08615532914384971,2.8663033863533443,-0.40310363920854825,13.428190492928902
2.6206949281398257,6.545947899977703,-2.310285530988242,-0.9774470122483248,2.87249526713943,-0.3965887776524354,13.503767350954359
2.319025617786316,4.373641072895287,1.0533391401983998,-0.5152442680186711,2.6866600333909885,0.0,14.512399308530574
2.543598277042018,4.263790625855584,0.0,0.0,2.6866600333909885,0.0,14.821431560042058
