x,y,vx,vy,ang,angVel,t
2.843,2.458,0.0,0.0,2.3210825054212965,0.0,0.0
4.821137873914114,2.6477118164617814,2.9152958896945522,2.683104181665783,2.497392463682702,0.44100845545875483,0.8765429138307719
4.033688132490682,3.554858839204429,2.718366128857196,2.7870943794257945,2.5084936919695977,0.4339795144512219,1.7357494570033607
4.033688131890397,3.5548588386307656,2.7183660940731302,2.7870943380453554,2.508493691738086,0.433979508283615,4.565455675912049
4.033688125439666,3.554858832474507,2.718365743207327,2.7870939220564175,2.5084936893768264,0.4339794462139373,7.395093318500079
4.03368806370897,3.55485877346053,2.718362056125082,2.787089523566283,2.5084936647947527,0.4339787880987837,10.224814679041653
4.033687363603137,3.5548581050543295,2.7183248703171787,2.7870456471448986,2.5084934179326144,0.4339723002274013,13.054447068277593
4.033680968856429,3.554852008307051,2.717947718286447,2.7865922114985264,2.5084907908954084,0.43390327988078525,15.883777125927065
4.0336097756353055,3.554783496491362,2.7136148745997493,2.7815293030531643,2.508465013059472,0.4331742793871541,18.71095432328439
4.032779599439868,3.5540063189344977,2.6843179475965244,2.7455303822426402,2.5081852777544476,0.4273537717276201,21.51779438746229
4.030478120988827,3.5514367301358476,1.8809244998693386,1.8175156721593335,2.5040039607167994,0.2910475044954992,23.883478745778298
8.267,7.45,0.0,0.0,3.8811371424291905,0.0,25.56786013625707
