x,y,vx,vy,ang,angVel,t
2.543598277042018,4.263790625855584,0.0,0.0,2.6866600333909885,0.0,0.0
2.161147345829817,5.81875085295769,1.268088989291646,1.236330615575397,2.6901800158588665,0.0983009403137374,0.9403526987535112
2.1186999228561176,5.094409149209172,1.8134122818780212,-1.6720230799330458,2.690852302561914,0.061379125722338,1.7898244096113483
2.9057259400917737,4.808489113389061,3.528164400305359,0.7978177888092615,2.7019285571332188,0.2667279008573264,2.0732377797431454
3.7123876081717633,6.025912113374806,0.9601819054040288,-0.2068259044931479,2.746473322687606,0.0878027600345685,2.7667308580117274
2.5966367000865844,6.498244367888958,-2.083874208108953,-0.9115375552556528,2.7623784206366184,-0.048065558454494,3.708748076425071
2.0830555444546515,6.145307146435658,-1.7843134163520906,-3.003453959012492,2.757077748240691,-0.1011129149456222,3.9293566418006374
2.990137976564759,6.388815801695182,0.5213096852079121,-0.3274501674139068,2.7582545447186324,-0.0049099964120126,5.361027272701615
2.5457681064481847,5.694474896540745,-1.5332399325905683,-1.530005658729438,2.7524444990332526,-0.0669288348076532,5.9236195374786
2.6972981263175573,4.707346485312918,-2.4691122208949405,1.2475490170824295,2.713865621214838,-0.1606153383815247,6.986009662676158
2.9079500252892787,5.455132424086668,2.1096999328202157,-0.0522653639079983,2.713258748443492,0.1676924606604604,7.570221125099527
8.267,4.122,0.0,0.0,2.866285877206522,0.0,9.268567704955474
