x,y,vx,vy,ang,angVel,t
8.267,0.732,0.0,0.0,3.141592653589793,0.0,0.0
7.335365307978573,2.092373411428741,-1.229191200195169,3.4993896856170665,3.1163327063018698,-0.0627678823278341,0.779620152027112
7.208402839294355,3.588254232337169,-2.948635730231488,3.1032970334761254,3.089653772654425,-0.0794123806116158,1.1570436182549226
5.992234518082647,3.582692757488108,-5.008514013044642,-0.7509856853802649,3.0683614071839926,-0.0520654312441292,3.7618184413180695
5.692217531545019,4.755094766623672,-5.025215709554193,-0.2945204988902704,3.065977916308786,-0.0519588491495618,4.472790115692603
5.691805690888776,4.755039367840036,-5.029742689877888,-0.2939994575386496,3.065971075180258,-0.052037542096837,8.124948994748031
5.69153666431866,4.755073138578371,-5.0847448579995,-0.2856637438843538,3.0659432956007637,-0.0524455807531545,11.74802418469642
5.678838097404659,4.753145344537606,-5.051450655235648,-0.3050357540235638,3.065844142041987,-0.0530852131185817,15.4218649916178
5.699186728971755,4.757226155019138,-6.355182476749325,0.0233304757757959,3.065341003482168,-0.0624405117470929,19.524447684103166
5.301200690598863,4.65400914878929,-4.053764868368783,-1.0945310707990767,3.0621522493824296,-0.0545119369924615,23.239338317871063
4.991672911993078,3.5463423422352536,-3.397686842946837,1.3023876036363355,3.052311097502561,-0.0609311118639321,23.98271012574141
4.168,5.046,0.0,0.0,3.031198770483229,0.0,24.8022565126103
