x,y,vx,vy,ang,angVel,t
0.787,4.497,0.0,0.0,2.172,0.0,0.0
2.8815705569061554,4.625087481094364,3.9982556243524017,1.5784557297744175,2.412568711276404,0.518272631089059,0.8788001624840823
2.28066507674925,6.3764447435576885,8.120094240674566,3.289996354938334,2.4232446858345176,1.0267480874266108,1.9245706012060633
3.214246009197537,6.031592159362397,2.1083848916046146,0.6909171949701818,2.514633302147866,0.2591735868852362,4.918177672024003
3.116913138393012,6.016161105419932,0.2486838000530817,0.1045204379603072,2.497191156782598,0.0315341527405367,5.991367154676084
2.314087385672939,6.389977759640402,12.636157846949454,4.934497600022086,2.426506215083981,1.590294486893696,10.268844808114954
2.578078053006818,5.795309946409454,6.210755961411782,2.4455051395543137,2.429975473930804,0.7825243426648728,10.814607742189022
3.550670115416945,5.850600690012285,-2.3388815859275427,2.072287343947471,2.4623101461683152,-0.2123859700024966,13.071985887005809
2.8798380243613613,5.889169347500025,2.222335212093087,0.60414452805629,2.4537015177911634,0.2971964646577363,14.119343925062424
2.6047901295575127,4.693224025451691,-3.1102654901258857,1.719556224586971,2.4484396016445493,-0.2565643063527562,15.511717965408653
2.7273868425913728,5.8638709188253655,3.127192485512741,1.4115041278671747,2.45706303115745,0.4131947797844387,16.03188508920479
8.267,7.45,0.0,0.0,3.3848924106852056,0.0,17.64009688379863
