x,y,vx,vy,ang,angVel,t
1.317,5.512,0.0,0.0,3.141,0.0,0.0
2.742285661641871,4.564070330904565,3.8683061178446523,-0.7736612235689301,3.1411324099955875,0.0003298655405984979,0.7943575775688236
2.9183048674038665,5.723143703732884,2.125165713350841,0.3016782859790559,3.1411623156342974,0.00019057032569414476,1.6537060726722497
2.9165683557221525,5.723049304450005,2.1342844038685067,0.3077011071445919,3.141162340637958,0.00019051381843753016,3.2131547283274795
2.921537879187032,5.723322841391966,2.111606702144702,0.29146888479482225,3.1411622717739696,0.00019067029561235265,4.764434626922239
2.908407781964042,5.722400546553712,2.165785519444872,0.3343594590232401,3.1411624950971246,0.0001903325775865745,6.338124344914845
2.9430991351933575,5.724350730588281,2.050158921809556,0.23288784428542525,3.1411619942078737,0.00019126623936828186,7.864113966777849
2.8643272435014038,5.716874114662863,2.29190151024161,0.48004544533267585,3.141163417596766,0.00018882816962948699,9.49712726771399
3.0593866206821745,5.72365954703059,1.9407345998404109,-0.031106833679392463,3.1411591559983556,0.00018997262525260734,9.586774484047835
2.6449348595536835,5.656263887005406,2.0227452611579477,0.8956292341907534,3.1411646512359477,0.00015660771423315505,11.245021551911659
3.221974944340256,5.699238134498191,3.210593633318119,-0.4789668945526323,3.1411580715622223,0.0002711043348148889,11.461259582831111
8.267,4.122,0.0,0.0,2.7991756977080744,0.0,13.0092064643969
